Hylak_id,Lake_area,glacier_lake_id,rgi_name,area0_km2,lat,lon
503123,0.2,110349,Arctic Canada South,0.250624698438164,63.8024,-65.3914
257306,0.14,19130,Arctic Canada South,0.165088771418193,69.5496,-72.4853
1274412,0.29,34060,Scandinavia,0.265705551210843,61.7627,7.66773
640637,0.25,26159,Alaska,0.218116218381557,60.1559,-153.626
684585,0.69,29928,Alaska,1.502580042317026,59.0268,-135.041
1089327,0.36,8780,Low Latitudes,0.366933649527351,-9.18536,-77.5456
666228,0.8,29864,Alaska,0.805825123008854,59.5353,-135.176
1174799,0.44,35519,Scandinavia,0.545973706160278,69.4927,19.8078
687376,0.48,109968,Arctic Canada South,0.514054595521414,58.9286,-64.0836
1089821,0.32,8970,Low Latitudes,0.2329588425176,-10.1998,-76.8951
1202191,0.27,35362,Scandinavia,0.237200163964561,67.9491,18.2204
1381701,0.41,92298,South Asia East,0.683016019600425,28.1849,86.5321
1267498,0.6,34597,Scandinavia,0.528642397218768,62.3806,8.90671
1197126,0.35,35361,Scandinavia,0.320568731881995,68.2686,18.192
655244,0.23,110121,Arctic Canada South,0.284359115241411,59.8047,-64.5137
1268839,0.25,34656,Scandinavia,0.217290393132821,62.2774,9.13851
1278708,0.27,117199,Scandinavia,0.406389243134235,61.224,6.41016
1279032,0.62,107394,Scandinavia,0.692202849847251,61.18,7.89586
1276918,0.21,107785,Scandinavia,0.173867085441006,61.4689,6.22705
565161,0.29,8494,Western Canada and USA,0.25441568877849,62.1446,-127.768
1264264,0.86,108071,Scandinavia,1.197286419516493,62.6283,7.94121
1206089,0.26,109187,Scandinavia,0.251766786835969,67.654,17.9006
1232341,0.93,108531,Scandinavia,0.993586346412128,65.2221,13.7237
